LSOA21CD,MSOA21CD,log_voa_rv_2023,rv_per_working_age,sme_density,qualification_index,firm_size_diversity,rv_per_employee,sme_qual_interaction,employment_quality,modern_sector_leverage,asset_growth_diversity,log_total_GVA_2023,is_swindon
E01015471,E02006849,11.833714368540948,90.67135618421052,127.41652021089632,19.683655536028123,0.8961111111111111,2579.5266875230677,2508.0228934306488,0.021089630999999998,9.02167545401289,8.157646108300952,2.7765807435093186,Swindon
E01015473,E02003219,16.268274056597637,8704.430254681649,408.8194763435921,13.321084060633895,0.9216639313218028,1848.7356721701842,5445.91860999732,1.3242133670188334,5.398086351367983,2.7482907034227164,6.207099982931871,Swindon
E01015475,E02003226,14.70764454868331,1371.742970207982,170.40898155573376,-0.12028868923817093,0.9058956916099772,1954.9269097777108,-20.498273025750862,0.11694734028334665,-0.03492252268204963,11.903836124932717,4.612086215029821,Swindon
E01015477,E02003226,13.53689131440145,587.1427583397983,234.93642896627972,3.593145384190162,0.9058956916099772,4248.534256952898,844.1607453183079,0.1381978993919292,1.0431712405713374,14.288139966478166,3.035241406648704,Swindon
E01015478,E02003232,14.753777684945355,2255.5588146513683,205.90043023970497,11.370620774431474,0.9048442906574394,8155.068718091049,2341.215709547968,0.13829133374308544,4.625337264175515,4.415879695029412,5.274070779473495,Swindon
E01015479,E02003228,15.175216106792922,2275.143242990654,100.96930533117933,8.844911147011304,0.912,2503.6659869190557,893.064534229736,0.7269789983844911,3.235943102565111,-22.125664318080002,4.859223083459394,Swindon
E01015480,E02003226,14.531360109457898,905.2756911504424,141.8084751418085,-5.138471805138474,0.9058956916099772,12058.111604135436,-728.6788512458631,0.060060060000000005,-1.4918143950402023,9.711791915393624,2.6520440643124705,Swindon
E01015481,E02003224,13.226807918525536,488.1670306068601,97.36540664375715,7.101947312943873,0.8494809688581314,2841.115582839234,691.4839880873186,0.0859106529209622,1.8938526167850323,13.21572976510556,2.8244100022184053,Swindon
E01015482,E02003224,11.096896852541963,83.60600705956908,133.75295043273013,2.911093627065304,0.8494809688581314,253.00693666879954,389.36736160590215,0.016522423288749016,0.7762916338840808,15.207011303397877,4.36655760376995,Swindon
E01015483,E02003224,11.982625538147483,204.01841632653063,124.35991221653255,-0.658376005852233,0.8494809688581314,3718.5079027022607,-81.87558229325502,0.0274323335,-0.17556693489392877,14.852631883077658,2.110213200346589,Swindon
E01015484,E02003224,12.74035301594897,406.24165571428574,116.27906976744187,-1.6415868673050618,0.8494809688581314,5939.166158947599,-190.88219387268163,0.068399453,-0.43775649794801635,-10.0550634467128,4.36655760376995,Swindon
E01015485,E02003224,13.590347208294045,711.5836737994453,128.8855193328279,8.112206218347236,0.8494809688581314,3133.519388429997,1045.5459113866793,0.015163002274450332,2.1632549915592625,7.987196902711418,2.4238288002794097,Swindon
E01015486,E02003224,11.843523360672156,164.90403210900473,115.64625850340136,2.448979592585033,0.8494809688581314,2424.053634293054,283.2153270336433,0.068027211,0.653061224689342,7.988748245836427,2.567714760975316,Swindon
E01015487,E02003234,11.148958219140242,75.2060558116883,163.55140186915887,3.271028037383175,0.9072,1609.375152454367,534.9812210673417,0.018691588800000002,1.1812045690550355,8.091724926014361,2.184589534756338,Swindon
E01015488,E02003234,12.662481196251559,349.58805481727575,163.77005347593584,-3.1417112299465195,0.9072,222.5461264160168,-514.5182161342897,0.5385790679908325,-1.1345068330362431,-2.5568947682208,4.070034793004519,Swindon
E01015489,E02003234,12.667808068420221,379.62210765550236,168.6166551961459,9.359944941500347,0.9072,2206.350866382544,1578.2426088558739,0.258086717136958,3.379980117764014,-3.4095856290048,2.802632843588158,Swindon
E01015490,E02003234,13.590347208294045,711.5836737994453,196.31410256410257,7.371794871794876,0.9072,3133.519388429997,1447.1872945430646,0.04507211538461537,2.6620370370370385,7.987196902711418,1.812542008410584,Swindon
E01015491,E02003234,14.561379968172327,2382.2289186440676,176.51296829971182,-4.106628242074928,0.9072,1537.921676484967,-724.873140712073,0.3540551667352819,-1.482949087415946,-7.2417638378736,5.167570664499794,Swindon
E01015492,E02003234,14.772218549920751,2915.0189070548713,180.1470588235294,-3.0882352941176485,0.9072,3523.929707600198,-556.3365051903116,0.20680147058823528,-1.115196078431373,7.2755397092970995,4.416379751045544,Swindon
E01015493,E02003228,13.358090017988124,407.5422526722473,111.95700850873264,10.47917599641737,0.912,466.6875938993492,1173.2171961954064,0.2619793999104344,3.8338448767380613,-3.9253839162719997,4.324463727272736,Swindon
E01015494,E02003230,16.042667570105944,4690.674365705615,253.04414003044138,9.322678843668188,0.8989349112426035,10272.554354242335,2359.0492507760064,0.456621005,2.7769681661990346,-9.848160027947928,3.846267744362679,Swindon
E01015496,E02003230,14.048955717832357,822.2282330729167,325.3424657534247,15.94911937377691,0.8989349112426035,2318.1100278402,5188.925823660296,0.15961350293542076,4.750801515593122,10.717441033742048,3.098063204651453,Swindon
E01015497,E02003230,13.544790923155093,627.8430761316872,387.30343622597553,16.482236458940015,0.8989349112426035,4791.10371285792,6383.626817236523,0.06552125800815375,4.909602349471494,12.436981698564887,2.539236994333048,Swindon
E01015498,E02003232,11.553879701626107,83.01150820717132,190.2328222600795,18.114707552526973,0.9048442906574394,2436.3162599982493,3446.0119421331833,0.0170357751277683,7.368694597638091,-25.02422220434256,2.2979744804363627,Swindon
E01015499,E02003229,10.348950644721173,35.28052009039548,91.64222873900293,18.035190615835774,0.8854166666666667,192.4894673906637,1652.7850637679412,0.12218963831867054,6.273109779421137,16.737207375368143,3.018667244836487,Swindon
E01015500,E02003229,13.590347208294045,711.5836737994453,88.2768361581921,6.779661016949156,0.8854166666666667,3133.519388429997,598.4870248013026,0.0105932205,2.358142962417097,7.987196902711418,2.02762179295004,Swindon
E01015501,E02003233,14.65969623309441,2762.5675249406177,268.9756816507001,9.506263817243918,0.9290123456790124,1629.9138780657765,2556.953790194569,0.2542372881355932,2.816670760664864,1.2608586847335124,6.019570838655752,Swindon
E01015502,E02003233,10.403061157504673,32.795391323383086,232.92916400765796,0.7657945118059981,0.9290123456790124,1712.9231167789658,178.3758754366237,0.0095724315,0.2269020775721476,12.143075192133198,2.0090190773832903,Swindon
E01015503,E02003233,14.858038029810274,3364.621381969158,281.4186584425598,-5.5512721665381655,0.9290123456790124,928.4920698212305,-1562.2315657566928,0.6341557440246722,-1.644821382677975,-4.019679633126543,8.135360719687952,Swindon
